S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,4368,01-Sep-12,30021,12th Finance,12th finance(Untied)2009-10,Nayak T.D.,ºÀÄ.«.ªÁqÀđ £ÀA 35 gÀ zÉÊªÀdƠ PÁ®¤AiÀÄ°è C©üªÀÈ¢̃ ¥Àr¸ÀÄªÀÅzÀÄ,Counstruction of imporvment to Daivajna colony  Roads in ward No 35,12-Sep-12,530521,13-Sep-12,530521
2,6700,24-Nov-12,51950,12th Finance,12th finance(swm)2009-10,Maniar and Company,12 £ÉĂ ºÀtPÁ¹£À AiÉÆĂd£ÉAiÀÄ°è 3000 °ĂlgÀ ¸ÁªÀÄxÀåđªÀÅ¼Àî eÉnÖAUï AiÀÄAvÀæ RjĂ¢¸ÀÄªÀ PÀÄjvÀÄ.,12 th finance purchase of Jetting Machine 3000 ltrs,26-Nov-12,878600,26-Nov-12,878600
3,6412,19-Nov-12,51736,12th Finance,12th finance(swm)2009-10,TPS Infrastructure Limited,12£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ n.¦.J¸ï E£À¥Áæ¸ÀÖçZÀÑgÀ °. EªÀjAzÀ PÁA¥ÁåPÀÖgÀ ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ ¸ÀzÀjAiÀÄªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ.,12th finance pay to TPS Infrasracture limited company,26-Nov-12,2779925,26-Nov-12,2779925
4,11318,31-Mar-12,35034,13th Finance,13th Finance(Garden),Cholappanavar Manjunath Shivappa,zsÁ.«.ªÁ.£ÀA. 13 gÀ ¸À¥ÁÛ¥ÀÆgÀ 10£ÉĂ PÁæ¸ï GzÁå£ÀªÀ£ÀPÉ̀ PÀgÀªÀÄgÀPÀgÀ «£Áå¸ÀzÀ GzÁå£ÀªÀ£ÀPÉ̀ ºÁUÀÆ ¸Á¬Ä£ÀUÀgÀzÀ GzÁå£ÀªÀ£ÀPÉ̀ ¸ÀÄvÀÛ®Æ ZÉÊ£ï °APï ¨ÉĂ° C¼ÀªÀr¸ÀÄªÀÅzÀÄ.,Zonal No.1  ward No. 13 Constrution of saptapur 10th cross garden karmarkar vinyas garden & sainagar garden chain link of Dharwad,31-Mar-12,236883,30-May-12,236883
5,11153,29-Mar-12,46535,13th Finance,13th Finance(BLDG),Nayar K K,ºÀÄ.«.zÀ.ªÁ.£ÀA.47 gÀ ¥Á°PÉAiÀÄ PÀZÉĂj DªÀgÀtzÀ°ègÀÄªÀ ºÉÆ¸À D¸ÀàvÉæ PÀlÖqÀPÉ̀ PÀA¥ËAqÀ UÉÆĂqÉ PÀlÄÖªÀÅzÀÄ ºÁUÀÆ M¼À¨sÁUÀzÀ UÉÆĂqÉUÀ½UÉ UÉèĂdØ mÉÊ®́ ºÀZÀÄÑªÀÅzÀÄ.,Construction of compound wall & providing tiles to the compound of HDMC Hospital in ward No.47 at Hubli,30-Mar-12,1022426,07-Jun-12,1022426
6,6659,22-Nov-12,51994,13th Finance,13th Finance-2011-12(Water),EE Karnataka Water Boad hubli,"ºÀÄ.zsÁ.ªÀÄ.¥Á°PÉ ºÀÄ§â½î ¥Á°PÉ DªÀgÀtzÀ°è ¥ÉĂqï ¥À©èPï mÁå¥ï ºÁUÀÆ GtPÀ¯ï, D£ÀAzÀ £ÀUÀgÀ, ¹zÁ̃gÀÆqsÀªÀÄoÀ, ²¯Á PÁ®¤, ¸ÁUÀgÀ PÁ®¤, ¨Á¥ÀÆf PÁ®¤, ¸ÉÆĂ¤AiÀiÁUÁA¢üPÀ £ÀUÀgÀ C¼ÀªÀr¸ÀÄªÀzÀÄ","Regarding Water Supply Bill at HDMC Raods, Unkal, Ananda nagar, Siddharudhmath, Shila Colony, Sagar Colony, Bapuji Colony, Soniya Gandhi Nagar  in ward No 25",22-Nov-12,3687200,22-Nov-12,3687200
7,6653,22-Nov-12,52006,13th Finance,13th Finance-2011-12(Water),EE Karnataka Water Boad Dharwad,zsÁ.«.ªÁqÀđ £ÀA 22 gÀ ElUÀnÖ zÉĂªÀ¸ÁÜ£ÀzÀ ºÀwÛgÀ jªÀ¸Àđ D¸Áä¹¸À ¥ÁèAmï C¼ÀªÀr¸ÀÄªÀÅzÀÄ ºÁUÀÆ CªÀÄgÀUÉÆĂ¼À D±ÀæAiÀÄ PÁ®¤ ªÀÄvÀÄÛ zsÁgÀªÁqÀ ¥Á°PÉ DªÀgÀt,"Regarding Water Supply related works in ward No : 22 itagatti temple Roads , Amargol Ashray Colony and HDMC Dharwad",22-Nov-12,1850000,22-Nov-12,1850000
8,6658,22-Nov-12,51997,13th Finance,13th Finance-2012-13(Water),EE Karnataka Water Boad Dharwad,zsÁ.«.ªÁqÀđ £ÀA 12 gÀ D¸ÀàvÉæAiÀÄ ºÀwÛgÀ ªÁlgï ¦ü®Ögï ¥ÁèAl ºÁUÀÆ ²æĂ gÁªÀÄ £ÀUÀgÀ ªÀÄvÀÄÛ D±ÀæAiÀÄ PÁ®¤ §¸ÀªÉĂ¸ÀégÀ £ÀUÀgÀ  C¼ÀªÀr¸ÀÄªÀÅzÀÄ,"Regarding Water Related at Hospital Near, Shri Ram Nagar, Asharya Colony Basaveshwar Nagar  in ward No : 12",22-Nov-12,1561000,22-Nov-12,1561000
9,6656,22-Nov-12,51982,13th Finance,13th Finance-2012-13(Water),EE Karnataka Water Boad hubli,"ºÀÄ.«.ªÁqÀđ £ÀA 59,44,60,38 gÀ PÉÆ¼ÉPÀgÀ ¥ÁèlzÀ°è ªÉÆĂ«Ä£À ¥Áèl, ²ªÀ±ÀAPÀgÀ £ÀUÀgÀ, ¹zÀƯgÁªÉÄĂ¸ÀégÀ £ÀUÀgÀ ¦ü®Ögï ¥ÁèAmï C¼ÀªÀr¸ÀÄªÀÅzÀÄ","Regarding Water Related works at kolekar plot, Momin plot, Shivashnkar Nagar, Siddarameshwar (4 works)",22-Nov-12,4910900,22-Nov-12,4910900
10,6654,22-Nov-12,52005,13th Finance,13th Finance-2012-13(Water),EE Karnataka Water Boad hubli,zsÁ.«.ªÁqÀđ £ÀA 12 gÀ gÀ D¸ÀàvÉæAiÀÄ ºÀwÛgÀ ªÁlgï ¦ü®Ögï ¥ÁèAl C¼ÀªÀr¸ÀÄªÀÅzÀÄ,Regarding Water Supply Bill at Hospital Near,22-Nov-12,554000,22-Nov-12,554000
