S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,10762,30-Mar-13,53765,13th Finance,13th Finance-2011-12(RD_BRDG),Dayagodi Umesh,"ºÀÄ.«.zÀ ªÁ,£ÀA 40 ¨ÁåAPÀ¸Àđ PÁ®¤ 5 ªÀÄvÀÄÛ 6£ÉĂ PÁæ¹£À ¹r ¥ÀÄ£ÀgÀ ¤ªÀiÁđt.",(Regarding Repair and Reconstruction of CD Works) at Bankkars Colonny Roads in ward No : 40,16-Apr-13,170714,17-Apr-13,170714
2,10366,26-Mar-13,53047,13th Finance,13th Finance-2012-13(Garden),Jain J.D.,ºÀÄ.«.ªÁqÀđ £ÀA 37gÀ UÁA¢ü£ÀUÀgÀzÀ°ègÀÄªÀ GzÁå£ÀªÀ£À¥ÁvÀªÉ ¤«Äđ¸ÀÄªÀÅzÀÄ.,Regarding Garden Work Ward No 37.,16-Apr-13,237013,17-Apr-13,237013
3,10773,30-Mar-13,53449,13th Finance,13th Finance-2012-13(RD_BRDG),Sureban A.B.,"EAqÉAmï £ÀA.7472, ºÀÄ.«.ªÁ£ÀA.45gÀ ºÉÆ¸ÀÆgÀ ªÁtÂ«¯Á¸À ¸ÀPÀđ¯ï¢AzÀ ¨sÁgÀvÀ «Ä¯ï ¸ÀPÀđ¯ïªÀgÀUÉ gÀ¸ÉÛ qÁA§jĂPÀgÀt ªÀiÁqÀÄªÀÅzÀÄ.",Regarding Road Work At Ward No 45. Vanivilas Cricle To Barth Mill Cricle.,16-Apr-13,1865752,17-Apr-13,1865752
4,10768,30-Mar-13,52019,13th Finance,13th Finance-2011-12(RD_BRDG),Pastay V.L.,ºÀÄ.«.ªÁqÀđ £ÀA 28 gÀ ZÁªÀÄÄAqÉĂ±Àéj £ÀUÀgÀ ªÀÄÄRå gÀ¸ÉÛ ºÁUÀÆ M¼ÀgÀ¸ÉÛUÉ Rr ¥ÁåZÀ ªÀiÁqÀÄªÀÅzÀÄ,Regarding Concrete Road works at Chamundeshwari Nagar Roads in ward No : 28,09-May-13,31153,10-May-13,31153
5,10776,30-Mar-13,53185,13th Finance,13th Finance-2011-12(UGD),Naragund N.M.,ºÀÄ.«.ªÁqÀđ £ÀA 37 gÀ UÉÆĂPÀÆ® gÀ¸ÉÛAiÀÄ°ègÀÄªÀ EAqÀ¹ÖçAiÀÄ¯ï J¸ÉÖĂl£À°è ªÉÄÊPÉÆæĂ¶¤ĂµÀ ¥sÁåPÀÖj ºÀwÛĂgÀzÀ gÀ¸ÉÛUÀ½UÉ M¼ÀZÀgÀAr PÁªÀÄUÁj PÉÊUÉÆ¼ÀÄîªÀzÀÄ,Regarding UGD line Road works at Gokul Road in ward No 37 (II),10-May-13,221131,10-May-13,221131
6,10765,30-Mar-13,53582,13th Finance,13th Finance-2012-13(UGD),Gangavati S.S.,ºÀÄ.«.ªÁqÀđ £ÀA 35 gÀ gÉĂ® £ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÁªÀÄUÁj ¤«Äđ¸ÀÄªÀÅzÀÄ,regarding UGD line wrosk in ward No : 35,09-May-13,208008,10-May-13,208008
7,626,26-Apr-13,53027,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.zÀ ªÁqÀđ £ÀA 35 ²gÀÆgÀ ¥ÁPÀđ ©æqÀÓ ºÀwÛgÀ ¹r ¥ÀÄ£ÀgÀ ¤ªÀiÁđt.,(Regarding Repair and Reconstruction of CD Works) at Shirur park Roads in ward No : 35,17-May-13,180240,17-May-13,180240
8,574,24-Apr-13,53074,13th Finance,13th Finance-2011-12(RD_BRDG),Jadhav V.S.,"zsÁ.«.zÀ ªÁqÀđ £ÀA 16 gÀ ªÀÄAdÄ£ÁxÀ¥ÀÆgÀ, UË½UÀ°è, qÁA§gÀ ¥ÁåZÀ ªÀiÁqÀÄªÀzÀÄ (EAqÉĂ£ïÖ £ÀA. 7719)",Regarding Road Development Works at Manjunathpur in ward No : 16 (Pot Hole Filling of Roads),17-May-13,1558085,17-May-13,1558085
9,10778,30-Mar-13,53172,13th Finance,13th Finance-2012-13(Drain),Uppin A.A,"EAqÉAmï £ÀA.7301, ºÀÄ.«.ªÁqÀđ £ÀA 41 gÀ°è VæĂ£ï UÁqÀđ£À vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at Green Garden  in ward No : 41,17-May-13,280557,17-May-13,280557
10,941,15-May-13,54508,13th Finance,13th Finance(P)2011-12(Drain),Raju S.R.,"EAqÉAmï £ÀA.9386, ºÀÄ.«.zÀ ªÁqÀđ £ÀA 59 gÀ°è EA¢gÁ£ÀUÀgÀzÀ £Á¯ÁPÉ̀ vÀqÉUÉÆĂqÉ ¤«Äđ¸ÀÄªÀÅzÀÄ.",Regarding Storm Water Drains Development works in ward No 59,22-May-13,2128688,22-May-13,2128688
11,861,10-May-13,54109,13th Finance,13th Finance(P)2011-12(UGD),Kyarakatti Sunil P,"EAqÉAmï £ÀA.8007, ºÀÄ.«.ªÁqÀđ £ÀA 63 gÀ UÀÄgÀÄ¹zÉƯĂ±ÀégÀ £ÀUÀgÀ ºÁUÀÆ £ÉĂPÁgÀ £ÀUÀgÀ ¨ÉÊ¥Á¸À gÀ¸ÉÛAiÀÄ°è ºÉÆ¸ÀzÁV M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁUÀÆ ZÉĂA§gÀ PÀlÄÖªÀÅzÀÄ",Regarding UGD line road wroks in ward No 63 (III),22-May-13,180064,22-May-13,180064
12,10684,30-Mar-13,53099,13th Finance,13th Finance-2011-12(RD_BRDG),Uppar I.G.,ºÀÄ.«.zÀ ªÁ.£ÀA 37  UÁA¢ü£ÀUÀgÀzÀ°è ¹r ¥ÀÄ£ÀgÀ ¤ªÀiÁđt,(Regarding Repair and Reconstruction of CD Works) at Gandhinagar Roads in ward No : 37,22-May-13,80971,22-May-13,80971
13,481,18-Apr-13,52822,13th Finance,13th Finance-2011-12(RD_BRDG),Nayak T.D.,ºÀÄ.«.zÀ 46 UÀÄdgÁvÀ ¨sÀªÀ£À¢AzÀ gÉÊ¯Éé CAqÀgï ©æeï ªÀgÉUÉ gÀ¸ÉÛUÉ qÁA§gï ¥ÁåZï ªÀPÀđ ªÀiÁqÀÄªÀzÀÄ.,Regarding Road Development Works at Gujarat Bhaan Roads in ward No 46 (Pot Hole filling of Roads),22-May-13,191954,22-May-13,191954
14,1161,18-May-13,55754,13th Finance,13th Finance-2011-12(swm),Kam-Avida Enviro Engineers Pvt.ltd,¸À£ï 2011-12£ÉĂ ¸Á°£À 13£ÉĂ ºÀtPÁ¹£À C£ÀÄzÁ£ÀzÀ°è eÉnÖAUï PÀªÀiï ¸ÀPÉë£ï ªÀÄ²Ă£ï AiÀÄAvÀæªÀ£ÀÄß J¸ï.qÀ§Æèöå.JªÀiï SÁvÉUÉ   ªÁºÀ£ÀªÀ£ÀÄß RjĂ¢¸À¯ÁVzÀÄƯ PÁªÀiï C«qÁ EªÀjUÉ ºÀt ¸ÀAzÁAiÀÄ ªÀiÁqÀÄªÀ PÀÄjvÀÄ,13th finance pay to Kam Avida Enviro Engineers Pvt Ltd purchase of vehical,22-May-13,2076000,22-May-13,2076000
15,456,17-Apr-13,53115,13th Finance,13th Finance-2012-13(UGD),Talewad N.H.,"EAqÉAmï £ÀA.7276, ºÀÄ.«.ªÁqÀđ £ÀA.51gÀ UÀuÉĂ±À¥ÉĂl ¥ÀæzÉĂ±ÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.",Providing under drainage to Ganeshpeth in ward No.51 Hubli,22-May-13,196782,22-May-13,196782
16,1045,17-May-13,52890,13th Finance,13th Finance-2011-12(Electrical),"Shree Bharathi Electricals, Bangalore",zsÁgÀªÀqÀ «¨ÁUÀzÀ PÉ®UÉĂj gÀ¸ÉÛ zÁ¸À£ÀPÉÆ¥Àà ªÀÈvÀÛzÀ°è ºÉÊªÀiÁ¸ÀÖ ¢Ă¥À C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj,Errection of Highmast at Dasankoppa Circle Kelageri Road of Dharwad Division,22-May-13,289674,24-May-13,289674
17,377,10-Apr-13,51529,13th Finance,13th Finance-2011-12(Garden),Davalnavar M.I.,zsÁ « ªÁ £ÀA 13 gÀ J¸ï J¸ï PÉ PÁ®¤ GzÁå£ÀªÀ£À C©üĂªÀÈ¢üƯ  PÁªÀÄUÁj,Regarding the Parks and Garden works in  S S K  Colony  Ward No 13,17-May-13,518682,24-May-13,518682
18,804,07-May-13,53392,13th Finance,13th Finance-2012-13(Drain),Palkar Shivayogi Channappa,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA02 ªÁqÀđ £ÀA 10 gÀ°è  ªÀiË£ÉĂ±ÀégÀ ªÀÄoÀzÀ JzÀÄjUÉ vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀiUÁj (EAqÉĂ£ïÖ £ÀA.7139),Regarding  Drains Road works at Maouneshwar Math  in ward No 10,22-May-13,181140,24-May-13,181140
19,389,12-Apr-13,51656,13th Finance,13th Finance(P)2011-12(Drain),Bhimappa N.F.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 01 ªÁqÀđ £ÀA 14 gÀ ²æĂ ¸ÀzÁ²ªÀ£ÀUÀgÀ MqÉAiÀÄgÀ gÀ¸ÉÛ AiÀÄÄªÀd£À QæĂqÁ ºÁ¸ÉÖĂ¯ï¢AzÀ «ÄaV£ï PÀA¥ËAqÀ §¸ï gÀÆmï & ±ÁgÀzÁ ¸ÀÆ̀¯ï gÀ¸ÉÛAiÀÄ°è «ÄaV£ï PÀA¥ËAqÀ gÀ¸ÉÛ¬ÄAzÀ ¸À¥ÁÛ¥ÀÆgÀ 5£ÉĂ PÁæ¸ïªÀgÉUÉ (§®PÉ̀) vÉ.ZÀ. ªÀ CrUÁ®ÄªÉ PÀlÄÖªÀÅzÀÄ.,Construction of open drain & cross Drainage work Shri Sadashiv wadeyar road Yuvajan Sports Hostel to Michigan Compound & Sapathapur 5th cross (Right Side) in ward No. 14 of Dharwad,24-May-13,1013516,27-May-13,1013516
20,505,19-Apr-13,53280,13th Finance,13th Finance-2011-12(Bldg),Davalnavar M.I.,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 03 ªÁqÀđ £ÀA 12 gÀ ºÀ¼ÉĂ §¸ï ¸ÁÖöåAqï ¥ÀPÀ̀zÀ°ègÀÄªÀ ¥Á°PÉ DªÀgÀtzÀ°ègÀÄªÀ ºÉjUÉ D¸ÀàvÉæ PÀlÖqÀzÀ zÀÄgÀ¹Ü ºÁUÀÆ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA.7753),Construction of Building works at Dharwad Old Busstand Roads,24-May-13,548324,29-May-13,548324
21,10685,30-Mar-13,53151,13th Finance,13th Finance-2011-12(RD_BRDG),Panchputra Manjunath,ºÀÄ.«.zÀ ªÁ.£ÀA 38 ±ÀQÛ£ÀUÀgÀ ºÀwÛgÀ ¹r ¥ÀÄ£ÀgÀ ¤ªÀiÁđt,(Regarding Repair and Reconstruction of CD Works) at Shakti Nagar Roads in ward No : 38,29-May-13,121355,29-May-13,121355
22,1237,21-May-13,53146,13th Finance,13th Finance-2011-12(Electrical),V.S.Associates,zsÁgÀªÁqÀ «¨ÁUÀzÀ  UÉÆĂªÁ gÀ¸ÉÛ dªÀÄđ£À D¸ÀàvÉæ ºÀwÛgÀzÀ ªÀÈvÀÛzÀ°è ºÉÊªÀiÁ¸ÀÖ ¢Ă¥À C¼ÀªÀr¸ÀÄªÀ PÁªÀÄUÁj,Errection of High Mast At Circle near German Hospital Goa Road of Dharwad Division,30-May-13,300615,30-May-13,300615
