S. No,Br. No ,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,4827,11-Sep-13,53384,13th Finance,13th Finance-2011-12(RD_BRDG),Sureban A.B.,ºÀÄ.«.ªÁqÀđ £ÀA 48gÀ UÁA¢üªÁqÀ ªÀÄÄRågÀ¸ÉÛ zÀÄgÀ¹Û ªÀiÁqÀÄªÀzÀÄ.,Regarding Road Development Works at Ghandhiwad Roads in ward No : 48 (Restoration of Roads for Existing),05-Nov-13,191396,08-Nov-13,191396
2,5561,10-Oct-13,53693,13th Finance,13th Finance-2011-12(RD_BRDG),Hulamani F.D.,"zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 18 gÁªÀÄ£ÀUÀgÀ, ªÀiÁ¼ÀªÀÄrØ, UË½UÀ°è vÉĂd¹é£ÀUÀgÀUÀ¼À°è CrUÁ®ÄªÉ ¥ÀÄ£ÀgÀ ¤ªÀiÁđt. (EAqÉĂ£ïÖ £ÀA.7828)",(Regarding Repair and Reconstruction of CD Works) at Ram Nagar Roads in ward No : 18 at Dharwad,05-Nov-13,428757,08-Nov-13,428757
3,5562,10-Oct-13,53690,13th Finance,13th Finance-2011-12(RD_BRDG),Hulamani F.D.,"zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 16  UË½UÀ°è, £ÀUÀgÀPÀgÀ PÁ®¤, ªÀÄAdÄ£ÁxÀ¥ÀÆgÀ ºÁUÀÆ ®QëöäĂ¹AUÀ£ÀPÉĂjUÀ¼À°è CrUÁ®ÄªÉ ¥ÀÄ£ÀB ¤«Äđ¸ÀÄªÀzÀÄ. (EAqÉĂ£ïÖ £ÀA. 7814)",(Regarding Repair and Reconstruction of CD Works) at Gouligalli Nagarkar Colony Roads in ward No : 16,05-Nov-13,372921,08-Nov-13,372921
4,5380,05-Oct-13,53086,13th Finance,13th Finance-2011-12(UGD),Goggi D.N.,"EAqÉAmï £ÀA.7300, ºÀÄ.«.ªÁqÀđ £ÀA 66 gÀ bÀ©â ¥Áèl ZÀªÁí£À ¥Áèl ¸ÀAAiÀÄÄPÀÛ £ÀUÀgÀ PÁ®¤ ²ªÀ£ÁUÀ §qÁªÀuÉ M¼ÀZÀgÀAr PÁªÀÄUÁj PÉÊUÉÆ¼ÀÄîªÀzÀÄ",Regarding UGD line Road works at Chabbi plot Roads in ward No : 66,06-Nov-13,508278,16-Nov-13,508278
5,5775,15-Oct-13,57036,13th Finance,13th Finance-2012-13(Drain),Saleem N Lacchanna,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA06 gÀ°è PÁzÀgÀªÀ½î NtÂ ªÉÆĂgÉ¥ÁèlzÀ°è vÉgÉzÀ Dgï.¹.¹. ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj (EAqÉĂ£ïÖ £ÀA. 7126),Regarding Drains Road wrosk at Kadaralli Oni Roads in ward No : 6 at Dharwad,05-Nov-13,298158,16-Nov-13,298158
6,5674,15-Oct-13,53736,13th Finance,13th Finance-2012-13(Drain),Shetasandi Saiyad Husen,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 07 gÀ°è ²ªÀUÀAUÁ £ÀUÀgÀzÀ°è vÉgÉzÀ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀiÁUÁj. (EAqÉĂ£ïÖ £ÀA. 7127),Regarding  Drains Road works at Shivaganga Nagar Roads in ward No 07,05-Nov-13,495805,16-Nov-13,495805
7,5687,15-Oct-13,53734,13th Finance,13th Finance-2012-13(Drain),Shetasandi Saiyad Husen,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 02 ªÁqÀđ £ÀA 11 gÀ°è ªÀÄ¤Q¯Áè ¥sÀQ̀ĂgÀUÀ°èAiÀÄ°è PÁAQæĂl vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀiÁUÁj. (EAqÉĂ£ïÖ £ÀA. 7154),Regarding  Concrete Drains Road works at Manikilla Fakiragalli in ward No 11 at dharwad,05-Nov-13,348501,16-Nov-13,348501
8,6345,05-Nov-13,53050,13th Finance,13th Finance-2012-13(Drain),Kyarakatti Sunil P,ºÀÄ.«.ªÁqÀđ £ÀA 46 gÀ°è ±ÁgÀzÁ ºÉÆĂmÉ¯ï£À ºÀwÛgÀ vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj,Regarding Drain Road wroks at Sharadha Hotel Road in ward No : 46,22-Nov-13,178064,25-Nov-13,178064
9,6288,30-Oct-13,53739,13th Finance,13th Finance-2012-13(Drain),Talikoti G G,"EAqÉAmï £ÀA.7315, ºÀÄ.«.ªÁqÀđ £ÀA 58 gÀ°è AiÀÄ¯Áè¥sÀÆgÀ NtÂ ¸ÀÄzsÁ ºÉÆĂmÉ¯ï ºÀwÛĂgÀ ªÁ¼ÉéĂPÀgÀ ºÀPÀ̀zÀ ZÉÆĂ½£ÀªÀgÀ NtÂ ¥Án¯ï UÀ°èUÀ¼À°è  vÉgÉzÀ Dgï.¹.¹ ZÀgÀAr ¤«Äđ¸ÀÄªÀ PÁªÀÄUÁj",Regarding Drain Road wroks at Yallapur Oni Roads in ward No : 58,25-Nov-13,679549,28-Nov-13,679549
10,4530,04-Sep-13,56941,13th Finance,13th Finance-2012-13(RD_BRDG),Mahalingashetti and Company Ltd,¹®égï mË£ïzÀ°è DAiÀÄƯ gÀ¸ÉÛUÀ¼À ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀzÀÄ.,Improvements to roads of Silver Town Hubli,30-Nov-13,2333383,30-Nov-13,2333383
