S. No,Br. No,Br. Date ,Recid,Main_Category,Passed_Category,Contractor_name,Description_Kan,Description_Eng,Bill Pass Date,Bill Pass Amt,Paid Date,Paid Amt
1,5099,25-Sep-14,61977,13th Finance,13th Finance(P)2012-13(Drain),Waddar E.H.,"EAqÉAmï £ÀA.15661, ºÀÄ.«.ªÁqÀđ £ÀA 47 gÀ gÁªÀÄ£ÀUÀgÀ CqÀØgÀ¸ÉÛAiÀÄ°è ²æĂ ¨Á¥ÀÆ PÁA§¼É AiÀÄªÀgÀ ªÀÄ£É¬ÄAzÀ ¥ÀªÁgÀ ªÀÄ£ÉAiÀÄªÀgÉUÉ vÉgÉzÀ ZÀgÀAr PÀlÄÖªÀÅzÀÄ.",Regarding Open Drain Work At Ramnagar Cross Road in ward no 47,26-Nov-14,541394,27-Nov-14,541394
2,6272,11-Nov-14,59949,13th Finance,13th Finance(P)2012-13(UGD),Goggi D.N.,EAqÉAmï £ÀA.15647ºÀÄ « zÀ ªÀÄAlÆgÀ ªÀÄÄRå gÀ¸ÉÛAiÀÄ°è ºÁUÀÆ «Ä®èvï£ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀÅzÀÄ.,"Providing UGD.Line to Mantor Main road, & Millatnagar in ward No.50",24-Nov-14,464794,27-Nov-14,464794
3,3330,26-Jul-14,61981,13th Finance,13th Finance-2013-14(Drain),Goni James F,"EAqÉAmï £ÀA.15699, ºÀÄ.«.ªÁqÀđ £ÀA : 51 PÀÄ®PÀtÂđ ºÀPÀ̀® CA¨ÉqÀ̀gÀ ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£À ºÁUÀÆ ¤Ăj£À mÁåAPÀ ºÀwÛgÀ ªÀÄvÀÄÛ ªÀÄPÁ£ÀzÁgÀUÀ°è ©zÀƯ ¹.r UÀ¼À£ÀÄß ¥ÀÄ£ÀB PÀlÄÖªÀzÀÄ.","Reconstruction of  C.D in  Ambedkar community hall in  Kulkarni hakkal  and Near Ward No : 
",24-Nov-14,105982,27-Nov-14,105982
4,6286,11-Nov-14,62111,13th Finance,13th Finance-2013-14(UGD),Goggi D.N.,"EAqÉAmï £ÀA.15555, ºÀÄ.«.ªÁqÀđ £ÀA 50 gÀ CA¨ÉĂqÀ̀gÀ PÁ®¤ÄAzÀ ¨Áå½ ¥Áèl ªÀgÉUÉ ºÁUÀÆ «Ä®èvÀ£ÀUÀgÀzÀ°è M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ",Laying of UGD line from Ambedakar colony to Byali plot and Milatanagar  in ward no. 50,24-Nov-14,404792,27-Nov-14,404792
5,5771,27-Oct-14,61704,13th Finance,13th Finance(P)2012-13(UGD),Khandekar K.N.,ºÀÄ§â½î ªÁqÀđ 29 ªÀiÁzsÀªÀ£ÀUÀgÀzÀ°è M¼ÀZÀAr PÉÆ¼ÀªÉ ºÁPÀÄªÀzÀÄ.,Providing and laying UGD at madavanagar in w.no.29,26-Nov-14,547222,28-Nov-14,547222
6,3205,24-Jul-14,54716,13th Finance,13th Finance-2012-13(RD_BRDG),SNN Infrastructure Pvt. Ltd.,"EAqÉAmï £ÀA.8009, ºÀÄ.«.ªÁqÀđ £ÀA.41gÀ «ĂPÁ¸À £ÀUÀgÀ, ²æĂ £ÀUÀgÀ, ¹zÀƯ°AUÉĂ±ÀégÀ £ÀUÀgÀ, ²ªÀ¥ÀÆgÀ PÁ®¤, ºÁUÀÆ gÁdzsÁ¤ PÁ®¤ ªÀÄÄRå gÀ¸ÉÛ ¸ÀÄzsÁgÀuÉ ªÀiÁqÀÄªÀÅzÀÄ.","Regarding  Road Work At wrd No 41   Vikas Nagar , Shri Nagar, Siddlingeshwar Nagar, Shivpur Colony & Rajdani Colony, Main Road Work",26-Nov-14,564367,28-Nov-14,564367
7,5299,09-Oct-14,61726,13th Finance,13th Finance-2013-14(UGD),Goggi D.N.,"EAqÉAmï £ÀA.15693, ºÀÄ.«.ªÁqÀđ £ÀA 63 gÀ £ÀÆgÁ¤ ¥Áèmï ªÀÄÄRå gÀ¸ÉÛ ºÁUÀÆ M¼ÀgÀ¸ÉÛUÀ½UÉ ºÉÆ¸ÀzÁV M¼ÀZÀgÀAr PÉÆ¼ÀªÉ ºÁQ ZÉĂA§gÀUÀ¼À£ÀÄß ¤«Äđ¸ÀÄªÀzÀÄ.",Laying of UGD line and construction of chambers at Noorani plot main road and bylines  in ward no.63,24-Nov-14,411075,01-Dec-14,411075
8,5765,27-Oct-14,62040,13th Finance,13th Finance(P)2012-13(Bldg),Chigaru Constructions Dharwad,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 19gÀ ¸ÀvÀÆÛgÀ PÁ®¤AiÀÄ°è ¸ÀªÀÄÄzÁAiÀÄ ¨sÀªÀ£À £À«ĂPÀgÀt PÁªÀÄUÁj. (EAqÉĂ£ïÖ £ÀA. 16867),Regarding Building Work At Dharwad Division  Sathur Colony Samudhaya Bhavan. in  ward no 19,03-Dec-14,310233,06-Dec-14,310233
9,6656,22-Nov-14,62029,13th Finance,13th Finance(P)2012-13(Garden),Nayar K K,"EAqÉAmï £ÀA.15684, ºÀÄ.«.ªÁqÀđ £ÀA 47gÀ ¥Á°PÉ DªÀgÀtzÀ°ègÀÄªÀ GzÁå£ÀªÀ£ÀUÀ¼À£ÀÄß C©üªÀÈ¢̃¥Àr¸ÀÄªÀzÀÄ.",Improvement  to garden in  HDMC Head office premises ward No.47.,03-Dec-14,327681,06-Dec-14,327681
10,6143,03-Nov-14,61891,13th Finance,13th Finance(P)2012-13(Garden),Raju H M,zsÁgÀªÁqÀ «¨ÁUÀzÀ ªÀ®AiÀÄ PÀZÉĂj £ÀA 12 ªÁqÀđ £ÀA 19gÀ ¸ÀvÀÆÛgÀ PÁ¯ÉÆĂ¤ UÁqÀđ£ÀzÀ°è ªÁQAUï ¥ÁxÀ ¤«Äđ¸ÀÄªÀÅzÀÄ. (EAqÉĂ£ïÖ £ÀA. 16869),Regarding Gardan Work At Sathur Colony Gardan in ward no 19  of Dharwad,03-Dec-14,308971,06-Dec-14,308971
