ID,Ward,Explanation_Optional,Population_2011,Corporator Name English,Corporator Name Kannada
1,1,,16491,Balaram N Kusugal,ಬಲರಾಮ ನಾರಾಯಣ ಕುಸುಗಲ್ 
2,2,,11961,Purna Sudhir Patil,ಪೂರ್ಣಾ ಸುದೀರ ಪಾಟೀಲ
3,3,,16638,Tirakappa S Jamanal,ತಿರಕಪ್ಪ ಶೇದೆಪ್ಪಾ ಜಮನಾಳ 
4,4,,14447,Anasuya S Cholappanavar,ಅನಸೂಯಾ ಶಿವಪ್ಪ ಚೋಳಪ್ಪನವರ 
5,5,,12331,Bibi Fatima M Pathan,ಬೀಬಿಫಾತೀಮಾ ಮುಕ್ತಾರಅಹ್ಮದ ಪಠಾಣ 
6,6,,11287,Yasin Muneersab Haveripeth,ಯಾಶೀನ ಮುನೀರಸಾಬ ಹಾವೇರಿಪೇಟ
7,7,,14806,Deepak Shankar Rao Chinchore,ದೀಪಕ ಶಂಕರರಾವ ಚಿಂಚೋರೆÉ
8,8,,13128,Nirmala S Javali,ನಿರ್ಮಲಾ ಶಿವಾನಂದ ಜವಳಿ
9,9,,10942,Shankar T Shelake,ಶಂಕರ ತಿರಕಪ್ಪ ಶೇಳಕೆ  
10,10,,12367,Meenakshi A Santaba,ಮೀನಾಕ್ಷಿ ಆನಂದ ಸಂತಬಾ 
11,11,,10986,Khatunabi Mohmadjameel Tamatagar,ಖಾತುನಬಿ ಮ್ಮದÀಜಮೀಲ ತಾಮಟಗಾರ 
12,12,,9816,Ambore R Shankar Rao,ಅಂಬೋರೆ ರಾಜು ಶಂಕರರಾವ
13,13,,10379,Vijayanand S. Shetty,ವಿಜಯಾನಂದ ಎಸ್. ಶೆಟ್ಟಿ
14,14,,13576,Sanjayakumar Narayanrav Kapatakar,ಸಂಜಯಕುಮಾರ ನಾರಾಯಣರಾವ ಕಪಟಕರ
15,15,,11007,Ishwar Mallappa Sanikoppa,ಈಶ್ವರ ಮಲ್ಲಪ್ಪ ಸಾಣಿಕೊಪ್ಪ
16,16,,11358,Basappa H Muttalli,ಬಸಪ್ಪ ಹನಮಂತಪ್ಪ ಮುತ್ತಳ್ಳಿ 
17,17,,17015,Shivu Hiremath,ಶಿವು ಹಿರೇಮಠ
18,18,,16325,Subhas Y Shinde,ಸುಭಾಷ ಯಲ್ಲಪ್ಪ ಶಿಂದೆ
19,19,,11161,Shaila Venkatreddy Kamareddy,ಶೈಲಾ ವೆಂಕಟರೆಡ್ಡಿ ಕಾಮರೆಡ್ಡಿ
20,20,,17258,Raghunath V Lakkannavar,ರಘುನಾಥ ವೆಂಕರೆಡ್ಡಿ ಲಕ್ಕಣ್ಣವರ 
21,21,,12060,Shivappa F Badavannavar,ಶಿವಪ್ಪ ಫಕ್ಕೀರಪ್ಪ ಬಡವಣ್ಣವರ 
22,22,,22926,Manjula R Akkur,ಮಂಜುಳಾ ಗಂ. ರವಿ ಅಕ್ಕೂರ  
23,23,,14821,Kariyappa K Bisagal,ಕರಿಯಪ್ಪ ಕರಬಸಪ್ಪ ಬೀಸಗಲ್
24,24,,15627,Mallikarjun A Horakeri,ಮಲ್ಲಿಕಾರ್ಜುನ ಅಜ್ಜಪ್ಪ ಹೊರಕೇರಿ 
25,25,,22232,Rajanna Moorusavirappa Koravi ,ರಾಜಣ್ಣಾ ಮೂರುಸಾವಿರಪ್ಪ ಕೊರವಿ
26,26,,11585,Umeshagouda C Koujageri,ಉಮೇಶಗೌಡ ಚಂದ್ರಶೇಖರಗೌಡ ಕೌಜಗೇರಿ
27,27,,11782,Ashwini Tippanna Majjagi,ಅಶ್ವಿನಿ ತಿಪ್ಪಣ್ಣಾ ಮಜ್ಜಗಿ
28,28,,12892,Ratna Malleshappa Patil,ರತ್ನಾ ಮಲ್ಲೇಶಪ್ಪ ಪಾಟೀಲ್
29,29,,16998,Prafulchandra (Pappi) Kallanagouda Rayanagoudar,ಪ್ರಫುಲ್‍ಚಂದ್ರ (ಪಪ್ಪಿ) ಕಲ್ಲನಗೌಡ ರಾಯನಗೌಡ್ರ 
30,30,,19036,Beerappa N Khandekar,ಬೀರಪ್ಪಾ ನಾಗಪ್ಪಾ ಖಂಡೇಕಾರ
31,31,,14816,Adarsh M Uppin,ಆದರ್ಶ ಮಹೇಶ ಉಪ್ಪಿನ
32,32,,12081,Menaka G Hurali,ಮೇನಕಾ ಗದಿಗೆಪ್ಪ ಹುರಳಿ (ಕಾಳೆ) 
33,33,,14957,Veeranna S. Savadi,ವೀರಣ್ಣಾ ಸವಡಿ
34,34,,9796,Lakshmi Lakshman Uppar,ಲಕ್ಷ್ಮೀ ಲಕ್ಷ್ಮಣ ಉಪ್ಪಾರ
35,35,,21697,Mahesh B Burli,ಮಹೇಶ ಬಾಳಪ್ಪ ಬುರ್ಲಿ 
36,36,,18993,Santosh Laxman Hirekerur,ಸಂತೋಷ ಲಕ್ಷ್ಮಣ ಹಿರೇಕೆರೂರ
37,37,,19530,Ramappa Krishnappa Badiger,ರಾಮಪ್ಪ ಕೃಷ್ಣಪ್ಪ ಬಡಿಗೇರ
38,38,,14967,Satish Surendra Hangal,ಸತೀಶ ಸುರೇಂದ್ರ ಹಾನಗಲ್
39,39,,18885,Deepa N Gouri,ದೀಪಾ ನಾಗರಾಜ ಗೌರಿ 
40,40,,31796,Prakash V Kyarakatti,ಪ್ರಕಾಶ್ ವಿ ಕ್ಯಾರಕಟ್ಟಿ
41,41,,12657,Lakshman M Gandagalekar,ಲಕ್ಷ್ಮಣ ಗಂಡಗಾಳೇಕರ
42,42,,11509,Pandurang Venkangouda Patil,ಪಾಂಡುರಂಗ ಪಾಟೀಲ
43,43,,9289,Baseer Ahmed H Gudamal ,ಬಸೀರಹ್ಮದ ಎಚ್ ಗುಡಮಾಲ
44,44,,13551,Abdulwahab A Mulla ,ಅಬ್ದುಲವಹಾಬ ಅಬ್ದುಲರಜಾಕ ಮುಲ್ಲಾ
45,45,,10145,Mohan Hiremani,ಮೋಹನ ಹಿರೇಮನಿ
46,46,,8193,Miskin Leena Sunil,ಮಿಸ್ಕಿನ ಲೀನಾ ಸುನೀಲ
47,47,,11953,Smita. A Jadhav,ಸ್ಮೀತಾ ಅಶೋಕ ಜಾಧವ
48,48,,18258,Suvarna Kallakuntla,ಸುವರ್ಣ ಕಲ್ಲಕುಂಟ್ಲಾ
49,49,,6051,Sudha Doraj Manikuntla ,ಸುಧಾ ದೋರಾಜ್ ಮನಿಕುಂಟ್ಲಾ 
50,50,,19572,Kumari Lakshmibai Kashappa Bijawad,ಕುಮಾರಿ: ಲಕ್ಷ್ಮೀಬಾಯಿ ಕಾಶಪ್ಪ ಬಿಜವಾಡ 
51,51,,10345,Tabasum Mahammad iliyas Maniyar,ತಬಸುಮ್ ಮಹಮ್ಮದ್ ಇಲ್ಲಿಯಾಸ್ ಮನಿಯಾರ
52,52,,9999,Sudheer Saraf,ಸುಧೀರ ಸರಾಫ್
53,53,,11138,D.K Chavan,ಡಿ. ಕೆ. ಚವ್ಹಾಣ
54,54,,11273,Sajjanar Kamalakshi Andaneppa,ಸಜ್ಜನರ ಕಮಲಾಕ್ಷಿ ಅಂದಾನಪ್ಪ 
55,55,,10934,Shivu G Menasinakai,ಶಿವು ಗುರುಶಿದ್ದಪ್ಪ ಮೆಣಸಿನಕಾಯಿ
56,56,,10324,Narayan S. Jaratarghar,ನಾರಾಯಣ ಶಂಕರಸಾ ಜರತಾರಘರ  
57,57,,13876,Shivanand Muttannavar,ಶಿವಾನಂದ ಮುತ್ತಣ್ಣವರ
58,58,,10767,Channoji S Basavaraj,ಚನ್ನೋಜಿ ಶಾಂತಾ ಬಸವರಾಜ 
59,59,,14946,Ganesh T. Tagaragunti,ಗಣೇಶ ತಿ. ಟಗರಗುಂಟಿ 
60,60,,10974,Rabiyabegum Abdulsattar Amatoor,ರಾಬಿಯಾಬೇಗಂ ಅ ಅಮಟೂರ
61,61,,11662,Dasharath Maruti Wali,ದಶರಥ ಎಂ. ವಾಲಿ
62,62,,11072,Arakeri Honnavva Lakshman,ಅರಕೇರಿ ಹೊನ್ನವ್ವ ಲಕ್ಷ್ಮಣ 
63,63,,15338,Muktum Hussain R Yaragatti,ಮುಕ್ತುಮಹುಸೇನ ಆರ್ ಯರಗಟ್ಟಿ 
64,64,,15579,Fahamida M Killedar,ಫಹಮೀದಾ ಮಹಮ್ಮದಹಾಷಮ ಕಿಲ್ಲೇದಾರ 
65,65,,23409,Altaf Navaz M. Kittur,ಅಲ್ತಾಫ್ ನವಾಜ  ಮಹಮ್ಮದ ಸಾಹೇಬ ಕಿತ್ತೂರ
66,66,,14326,Manjunath R Chintaginjal,ಮಂಜುನಾಥ ರಂಗಪ್ಪ ಚಿಂತಗಿಂಜಲ 
67,67,,15892,Laxmibai Y Jadhav,ಲಕ್ಷ್ಮೀಬಾಯಿ ಯಮನೂರ ಜಾಧವ
68,eeNorth,,,,
69,Eesouth,,,,
70,Eedharwad,,,,
71,R0,Revenue,,,
72,CS,Council;,,,
73,GA,General Admin,,,
74,AU,Audit,,,
75,IT,,,,
76,SE,Superintendent Engg,,,
77,HE,health,,,
78,ro,,,,
79,ge,,,,
80,0,,,,
81,HO,,,,
82,AC,,,,
83,PR,,,,
84,LA,Law,,,
85,TP,Town Planning,,,
86,SO,Special officer,,,
87,el,,,,
88,EL,,,,
89,EP,Project,,,
90,96,,,,
91,SW,Solid waste management,,,
92,EC,election,,,
93,AY,ashray,,,
96,ed,electrical_dharwad,,,
97,es,electrical_south,,,
98,en,electriclal_north,,,
99,Te,,,,
100,hs,horti_south,,,
101,hn,horti_north,,,
102,hd,horti_dharwad,,,
103,MH,waterboard_hubli,,,
104,MD,waterboard_dwd,,,
106,la,,,,
107,P2,project2,,,
108,CO,central office,,,
